AverageTemperature,City,Country,Year,Month
23.609,0.0,1.0,1858.0,2.0
23.705,0.0,1.0,1858.0,3.0
25.07,0.0,1.0,1858.0,4.0
26.921,0.0,1.0,1858.0,5.0
27.326,0.0,1.0,1858.0,6.0
27.3,0.0,1.0,1858.0,7.0
26.868,0.0,1.0,1858.0,8.0
26.63,0.0,1.0,1858.0,9.0
27.744,0.0,1.0,1858.0,10.0
25.631,0.0,1.0,1858.0,11.0
24.828,0.0,1.0,1858.0,12.0
24.613,0.0,1.0,1859.0,1.0
25.493,0.0,1.0,1859.0,2.0
24.91,0.0,1.0,1859.0,3.0
25.212,0.0,1.0,1859.0,4.0
27.005,0.0,1.0,1859.0,5.0
27.544,0.0,1.0,1859.0,6.0
27.236,0.0,1.0,1859.0,7.0
27.572,0.0,1.0,1859.0,8.0
26.208,0.0,1.0,1859.0,9.0
26.387,0.0,1.0,1859.0,10.0
26.273,0.0,1.0,1859.0,11.0
24.142,0.0,1.0,1859.0,12.0
24.223,0.0,1.0,1860.0,1.0
23.344,0.0,1.0,1860.0,2.0
22.541,0.0,1.0,1860.0,3.0
24.214,0.0,1.0,1860.0,4.0
25.668,0.0,1.0,1860.0,5.0
28.006,0.0,1.0,1860.0,6.0
27.417,0.0,1.0,1860.0,7.0
26.739,0.0,1.0,1860.0,8.0
26.345,0.0,1.0,1860.0,9.0
26.271,0.0,1.0,1860.0,10.0
26.136,0.0,1.0,1860.0,11.0
24.583,0.0,1.0,1860.0,12.0
23.84,0.0,1.0,1861.0,1.0
23.01,0.0,1.0,1861.0,2.0
23.597,0.0,1.0,1861.0,3.0
24.421,0.0,1.0,1861.0,4.0
25.655,0.0,1.0,1861.0,5.0
27.807,0.0,1.0,1861.0,6.0
27.874,0.0,1.0,1861.0,7.0
27.198,0.0,1.0,1861.0,8.0
26.75,0.0,1.0,1861.0,9.0
26.148,0.0,1.0,1861.0,10.0
27.405,0.0,1.0,1861.0,11.0
26.103,0.0,1.0,1861.0,12.0
25.097,0.0,1.0,1862.0,1.0
23.567,0.0,1.0,1862.0,2.0
23.764,0.0,1.0,1862.0,3.0
24.697,0.0,1.0,1862.0,4.0
26.154,0.0,1.0,1862.0,5.0
27.323,0.0,1.0,1862.0,6.0
27.679,0.0,1.0,1862.0,7.0
27.275,0.0,1.0,1862.0,8.0
26.346,0.0,1.0,1862.0,9.0
25.773,0.0,1.0,1862.0,10.0
25.744,0.0,1.0,1862.0,11.0
24.227,0.0,1.0,1862.0,12.0
24.77,0.0,1.0,1863.0,1.0
24.601,0.0,1.0,1863.0,2.0
24.913,0.0,1.0,1863.0,3.0
24.837,0.0,1.0,1863.0,4.0
25.546,0.0,1.0,1863.0,5.0
27.429,0.0,1.0,1863.0,6.0
27.347,0.0,1.0,1863.0,7.0
26.991,0.0,1.0,1863.0,8.0
26.7,0.0,1.0,1863.0,9.0
26.248,0.0,1.0,1863.0,10.0
25.919,0.0,1.0,1863.0,11.0
24.583,0.0,1.0,1863.0,12.0
23.869,0.0,1.0,1864.0,1.0
23.841,0.0,1.0,1864.0,2.0
23.221,0.0,1.0,1864.0,3.0
24.228,0.0,1.0,1864.0,4.0
25.601,0.0,1.0,1864.0,5.0
27.548,0.0,1.0,1864.0,6.0
27.371,0.0,1.0,1864.0,7.0
26.907,0.0,1.0,1864.0,8.0
27.014,0.0,1.0,1864.0,9.0
26.016,0.0,1.0,1864.0,10.0
25.853,0.0,1.0,1864.0,11.0
25.586,0.0,1.0,1864.0,12.0
25.133,0.0,1.0,1865.0,1.0
23.92,0.0,1.0,1865.0,2.0
23.568,0.0,1.0,1865.0,3.0
24.216,0.0,1.0,1865.0,4.0
25.914,0.0,1.0,1865.0,5.0
27.506,0.0,1.0,1865.0,6.0
27.489,0.0,1.0,1865.0,7.0
27.446,0.0,1.0,1865.0,8.0
26.484,0.0,1.0,1865.0,9.0
26.285,0.0,1.0,1865.0,10.0
26.494,0.0,1.0,1865.0,11.0
26.003,0.0,1.0,1865.0,12.0
25.619,0.0,1.0,1866.0,1.0
23.616,0.0,1.0,1866.0,2.0
24.46,0.0,1.0,1866.0,3.0
24.32,0.0,1.0,1866.0,4.0
26.004,0.0,1.0,1866.0,5.0
26.76,0.0,1.0,1866.0,6.0
27.343,0.0,1.0,1866.0,7.0
27.239,0.0,1.0,1866.0,8.0
27.155,0.0,1.0,1866.0,9.0
26.012,0.0,1.0,1866.0,10.0
26.003,0.0,1.0,1866.0,11.0
26.013,0.0,1.0,1866.0,12.0
25.729,0.0,1.0,1867.0,1.0
24.758,0.0,1.0,1867.0,2.0
25.426,0.0,1.0,1867.0,3.0
24.997,0.0,1.0,1867.0,4.0
26.327,0.0,1.0,1867.0,5.0
27.67,0.0,1.0,1867.0,6.0
27.488,0.0,1.0,1867.0,7.0
27.487,0.0,1.0,1867.0,8.0
27.369,0.0,1.0,1867.0,9.0
26.86,0.0,1.0,1867.0,10.0
26.473,0.0,1.0,1867.0,11.0
27.168,0.0,1.0,1867.0,12.0
25.258,0.0,1.0,1868.0,1.0
23.533,0.0,1.0,1868.0,2.0
24.345,0.0,1.0,1868.0,3.0
24.574,0.0,1.0,1868.0,4.0
25.696,0.0,1.0,1868.0,5.0
27.496,0.0,1.0,1868.0,6.0
27.006,0.0,1.0,1868.0,7.0
27.199,0.0,1.0,1868.0,8.0
26.753,0.0,1.0,1868.0,9.0
26.774,0.0,1.0,1868.0,10.0
25.204,0.0,1.0,1868.0,11.0
24.946,0.0,1.0,1868.0,12.0
25.231,0.0,1.0,1869.0,1.0
